Order Status,order date (DateOrders),shipping date (DateOrders),Days for shipment (scheduled),Order Profit Per Order,Order Region
PROCESSING,4/1/2016 21:05,4/6/2016 21:05,4,11.09000015,West of USA 
PENDING_PAYMENT,6/9/2017 18:43,6/11/2017 18:43,1,9.800000191,Central America
PROCESSING,1/2/2015 14:32,1/4/2015 14:32,4,117.5500031,Central America
PENDING,1/10/2017 1:46,1/15/2017 1:46,4,118.4300003,Southern Africa
COMPLETE,4/6/2017 7:15,4/8/2017 7:15,4,-21.59000015,Caribbean
COMPLETE,8/7/2016 23:21,8/12/2016 23:21,4,-16.38999939,US Center 
COMPLETE,8/31/2015 10:52,9/6/2015 10:52,4,83.19999695,Southern Europe
COMPLETE,12/3/2016 14:04,12/5/2016 14:04,4,99.08999634,East Africa
PENDING_PAYMENT,2/15/2017 20:59,2/21/2017 20:59,4,30.0,Central America
PENDING_PAYMENT,3/20/2017 20:03,3/24/2017 20:03,4,54.63000107,Central America
PROCESSING,5/26/2015 15:02,5/29/2015 15:02,4,72.02999878,Central America
PENDING_PAYMENT,1/28/2016 17:40,2/3/2016 17:40,4,-38.25,Southeast Asia
PENDING_PAYMENT,9/2/2015 3:09,9/8/2015 3:09,2,14.30000019,Northern Europe
PENDING,6/16/2015 2:55,6/18/2015 2:55,4,75.93000031,Western Europe
PROCESSING,7/11/2015 10:04,7/16/2015 10:04,2,68.87999725,Western Europe
PROCESSING,3/4/2016 16:55,3/5/2016 4:55,0,-50.75999832,Oceania
PENDING_PAYMENT,12/10/2015 1:47,12/12/2015 1:47,1,142.5500031,Southeast Asia
PROCESSING,4/27/2016 6:19,5/1/2016 6:19,2,-8.550000191,East of USA
PROCESSING,8/28/2017 2:50,9/1/2017 2:50,4,28.15999985,Southern Europe
ON_HOLD,1/14/2018 17:11,1/16/2018 17:11,2,5.090000153,Oceania
COMPLETE,6/22/2017 11:31,6/26/2017 11:31,4,-7.519999981,Southern Europe
PROCESSING,4/3/2015 15:38,4/7/2015 15:38,2,38.45000076,Central America
COMPLETE,8/16/2017 0:24,8/21/2017 0:24,4,-23.40999985,Western Europe
PENDING_PAYMENT,5/23/2015 14:30,5/25/2015 14:30,1,124.7900009,Caribbean
PROCESSING,6/1/2016 19:04,6/4/2016 19:04,4,71.90000153,West of USA 
PENDING,1/4/2016 17:00,1/9/2016 17:00,4,4.690000057,Southeast Asia
PROCESSING,7/20/2015 22:50,7/22/2015 22:50,1,6.239999771,Southern Europe
PAYMENT_REVIEW,3/14/2017 1:09,3/18/2017 1:09,2,145.5200043,Central America
PENDING_PAYMENT,1/6/2016 7:32,1/8/2016 7:32,1,-29.37999916,Southeast Asia
CANCELED,5/10/2017 18:03,5/12/2017 18:03,4,167.0299988,Central America
PROCESSING,2/6/2016 20:17,2/11/2016 20:17,4,50.09999847,Oceania
ON_HOLD,2/25/2016 17:58,3/1/2016 17:58,4,-66.40000153,South Asia
COMPLETE,7/12/2015 10:35,7/17/2015 10:35,4,15.25,Southern Europe
COMPLETE,8/16/2016 14:03,8/18/2016 14:03,1,-5.809999943,East of USA
COMPLETE,6/20/2017 19:14,6/21/2017 7:14,0,50.95999908,Western Europe
COMPLETE,9/7/2016 6:19,9/9/2016 6:19,1,14.18999958,Canada
COMPLETE,2/4/2015 9:45,2/8/2015 9:45,4,118.9899979,Caribbean
COMPLETE,7/28/2016 22:40,7/30/2016 22:40,1,68.37000275,West of USA 
PENDING_PAYMENT,5/24/2015 1:43,5/26/2015 1:43,1,15.0,Central America
PENDING_PAYMENT,5/6/2017 7:33,5/9/2017 7:33,4,57.79999924,South America
PENDING_PAYMENT,5/15/2017 17:32,5/18/2017 17:32,2,0.0,Central America
COMPLETE,3/29/2017 22:19,3/31/2017 22:19,4,36.02999878,Central America
PENDING_PAYMENT,10/3/2016 22:24,10/5/2016 22:24,4,21.59000015,Southern Africa
CANCELED,8/18/2015 9:39,8/20/2015 9:39,4,33.93000031,Northern Europe
PENDING,12/23/2015 12:48,12/29/2015 12:48,4,58.70000076,Southeast Asia
PENDING_PAYMENT,5/10/2015 0:20,5/15/2015 0:20,4,24.37000084,South America
COMPLETE,4/7/2017 4:16,4/9/2017 4:16,4,87.12000275,Central America
COMPLETE,9/19/2017 15:25,9/21/2017 15:25,4,17.01000023,Southern Europe
PENDING_PAYMENT,10/2/2015 12:34,10/5/2015 12:34,4,63.75,Western Europe
PAYMENT_REVIEW,7/21/2015 10:24,7/27/2015 10:24,2,28.70000076,Western Europe
CLOSED,6/22/2016 12:54,6/26/2016 12:54,2,33.20999908,East of USA
PENDING_PAYMENT,2/24/2017 9:56,3/2/2017 9:56,4,42.29000092,Central America
PENDING_PAYMENT,10/19/2015 6:04,10/23/2015 6:04,4,105.8300018,Western Europe
CLOSED,3/9/2015 4:59,3/15/2015 4:59,4,18.37999916,Central America
COMPLETE,9/19/2017 14:01,9/22/2017 14:01,2,53.20999908,Western Europe
COMPLETE,1/8/2017 15:05,1/10/2017 15:05,1,19.57999992,East Africa
COMPLETE,8/9/2016 7:56,8/12/2016 7:56,2,57.11999893,West of USA 
PENDING_PAYMENT,8/12/2015 6:31,8/14/2015 6:31,1,20.59000015,Southern Europe
PENDING,10/2/2016 5:24,10/7/2016 5:24,4,58.09999847,West Asia
PENDING_PAYMENT,8/28/2016 0:43,9/1/2016 0:43,4,-5.25,South Asia
PENDING_PAYMENT,3/10/2017 3:15,3/12/2017 3:15,1,-100.0100021,Central America
PENDING_PAYMENT,11/1/2017 20:26,11/3/2017 20:26,2,43.72000122,Western Europe
COMPLETE,11/7/2015 7:16,11/11/2015 7:16,4,66.5,Eastern Asia
COMPLETE,4/23/2016 4:35,4/28/2016 4:35,4,30.20999908,US Center 
COMPLETE,6/30/2016 20:57,7/5/2016 20:57,2,-2.519999981,US Center 
PENDING_PAYMENT,9/2/2015 10:52,9/4/2015 10:52,1,59.15000153,Western Europe
COMPLETE,12/9/2015 19:50,12/11/2015 19:50,4,-5.559999943,Oceania
SUSPECTED_FRAUD,9/1/2015 2:59,9/3/2015 2:59,4,174.9799957,Western Europe
PENDING,1/27/2016 17:29,1/29/2016 17:29,1,4.800000191,Oceania
CLOSED,8/9/2015 17:33,8/11/2015 17:33,1,9.380000114,Southern Europe
PENDING,6/30/2016 23:45,7/3/2016 23:45,4,-499.1199951,South of  USA 
COMPLETE,1/7/2017 13:09,1/9/2017 13:09,1,3.369999886,Eastern Europe
COMPLETE,5/3/2015 1:55,5/8/2015 1:55,2,10.68999958,Caribbean
PROCESSING,12/25/2017 17:13,12/27/2017 17:13,4,7.210000038,Oceania
ON_HOLD,1/13/2018 23:19,1/19/2018 23:19,4,1.409999967,Oceania
COMPLETE,8/8/2015 0:13,8/13/2015 0:13,4,2.880000114,Southern Europe
CLOSED,2/26/2015 11:07,3/3/2015 11:07,4,58.02999878,Central America
PENDING,12/29/2016 8:26,12/31/2016 8:26,4,118.7900009,Central Africa
PENDING_PAYMENT,12/30/2015 12:16,1/3/2016 12:16,4,128.3200073,Eastern Asia
